Weight,Name,ISIN,Country
10.14%,NVIDIA CORP,US67066G1040,United States
8.83%,MICROSOFT CORP,US5949181045,United States
4.96%,ALPHABET INC CLASS A,US02079K3059,United States
4.18%,ALPHABET INC CLASS C,US02079K1079,United States
3.45%,TESLA INC,US88160R1014,United States
2.19%,ELI LILLY,US5324571083,United States
1.49%,VISA INC CLASS A,US92826C8394,United States
1.31%,JOHNSON & JOHNSON,US4781601046,United States
1.24%,MASTERCARD INC CLASS A,US57636Q1040,United States
0.94%,ADVANCED MICRO DEVICES INC,US0079031078,United States
0.94%,HOME DEPOT INC,US4370761029,United States
0.77%,INTERNATIONAL BUSINESS MACHINES CO,US4592001014,United States
0.69%,SAP,DE0007164600,Germany
0.68%,NOVARTIS AG,CH0012005267,Switzerland
0.68%,MERCK & CO INC,US58933Y1055,United States
0.67%,HSBC HOLDINGS PLC,GB0005405286,United Kingdom
0.63%,SALESFORCE INC,US79466L3024,United States
0.59%,MCDONALDS CORP,US5801351017,United States
0.56%,MORGAN STANLEY,US6174464486,United States
0.56%,AMERICAN EXPRESS,US0258161092,United States
0.53%,SHOPIFY SUBORDINATE VOTING INC CLA,CA82509L1076,Canada
0.51%,WALT DISNEY,US2546871060,United States
0.50%,INTUIT INC,US4612021034,United States
0.49%,INTEL CORPORATION CORP,US4581401001,United States
0.47%,SONY GROUP CORP,JP3435000009,Japan
0.47%,SERVICENOW INC,US81762P1021,United States
0.47%,VERIZON COMMUNICATIONS INC,US92343V1044,United States
0.45%,TJX INC,US8725401090,United States
0.45%,ACCENTURE PLC CLASS A,IE00B4BNMY34,United States
0.44%,CHARLES SCHWAB CORP,US8085131055,United States
0.44%,TEXAS INSTRUMENT INC,US8825081040,United States
0.43%,BLACKROCK INC,US09290D1019,United States
0.42%,S&P GLOBAL INC,US78409V1044,United States
0.41%,NOVO NORDISK CLASS B,DK0062498333,Denmark
0.41%,GILEAD SCIENCES INC,US3755581036,United States
0.41%,SCHNEIDER ELECTRIC,FR0000121972,France
0.40%,CAPITAL ONE FINANCIAL CORP,US14040H1059,United States
0.40%,HITACHI LTD,JP3788600009,Japan
0.39%,TORONTO DOMINION,CA8911605092,Canada
0.37%,LOWES COMPANIES INC,US5486611073,United States
0.37%,ADOBE INC,US00724F1012,United States
0.37%,ARISTA NETWORKS INC,US0404132054,United States
0.37%,ANALOG DEVICES INC,US0326541051,United States
0.37%,WELLTOWER INC,US95040Q1040,United States
0.36%,PROGRESSIVE CORP,US7433151039,United States
0.36%,PALO ALTO NETWORKS INC,US6974351057,United States
0.35%,EATON PLC,IE00B8KQN827,United States
0.34%,STRYKER CORP,US8636671013,United States
0.33%,DEERE,US2441991054,United States
0.32%,PROLOGIS REIT INC,US74340W1036,United States
0.32%,VERTEX PHARMACEUTICALS INC,US92532F1003,United States
0.31%,ABB LTD,CH0012221716,Switzerland
0.30%,SOFTBANK GROUP CORP,JP3436100006,Japan
0.29%,ESSILORLUXOTTICA SA,FR0000121667,France
0.29%,AIA GROUP LTD,HK0000069689,Hong Kong
0.28%,BRISTOL MYERS SQUIBB,US1101221083,United States
0.28%,AUTOMATIC DATA PROCESSING INC,US0530151036,United States
0.28%,ZURICH INSURANCE GROUP AG,CH0011075394,Switzerland
0.28%,LOREAL SA,FR0000120321,France
0.28%,ADVANTEST CORP,JP3122400009,Japan
0.27%,COMCAST CORP CLASS A,US20030N1019,United States
0.27%,NEWMONT,US6516391066,United States
0.26%,MERCADOLIBRE INC,US58733R1023,Brazil
0.25%,CADENCE DESIGN SYSTEMS INC,US1273871087,United States
0.25%,MIZUHO FINANCIAL GROUP INC,JP3885780001,Japan
0.24%,INTERCONTINENTAL EXCHANGE INC,US45866F1049,United States
0.24%,BANK OF MONTREAL,CA0636711016,Canada
0.24%,MARSH & MCLENNAN INC,US5717481023,United States
0.24%,3M,US88579Y1010,United States
0.24%,TRANE TECHNOLOGIES PLC,IE00BK9ZQ967,United States
0.24%,BNP PARIBAS SA,FR0000131104,France
0.24%,SPOTIFY TECHNOLOGY SA,LU1778762911,Luxembourg
0.24%,BANK OF NOVA SCOTIA,CA0641491075,Canada
0.23%,WASTE MANAGEMENT INC,US94106L1098,United States
0.23%,SYNOPSYS INC,US8716071076,United States
0.23%,MARVELL TECHNOLOGY INC,US5738741041,United States
0.23%,CANADIAN IMPERIAL BANK OF COMMERCE,CA1360691010,Canada
0.23%,AMERICAN TOWER REIT CORP,US03027X1000,United States
0.22%,CRH PUBLIC LIMITED PLC,IE0001827041,Ireland
0.22%,MUENCHENER RUECKVERSICHERUNGS-GESE,DE0008430026,Germany
0.22%,BANK OF NEW YORK MELLON CORP,US0640581007,United States
0.22%,ING GROEP NV,NL0011821202,Netherlands
0.21%,US BANCORP,US9029733048,United States
0.21%,PROSUS NV CLASS N,NL0013654783,China
0.21%,SHERWIN WILLIAMS,US8243481061,United States
0.21%,MOODYS CORP,US6153691059,United States
0.21%,HERMES INTERNATIONAL,FR0000052292,France
0.21%,AXA SA,FR0000120628,France
0.21%,PNC FINANCIAL SERVICES GROUP INC,US6934751057,United States
0.21%,LLOYDS BANKING GROUP PLC,GB0008706128,United Kingdom
0.21%,RECRUIT HOLDINGS LTD,JP3970300004,Japan
0.20%,REGENERON PHARMACEUTICALS INC,US75886F1075,United States
0.20%,ELEVANCE HEALTH INC,US0367521038,United States
0.20%,RELX PLC,GB00B2B0DG97,United Kingdom
0.19%,CIGNA,US1255231003,United States
0.19%,FAST RETAILING LTD,JP3802300008,Japan
0.19%,EQUINIX INC,US29444U7000,United States
0.19%,VINCI SA,FR0000125486,France
0.19%,ANZ GROUP HOLDINGS LTD,AU000000ANZ3,Australia
0.19%,UNITED PARCEL SERVICE INC CLASS B,US9113121068,United States
0.19%,QUANTA SERVICES INC,US74762E1029,United States
0.18%,ROYAL CARIBBEAN GROUP LTD,LR0008862868,United States
0.18%,TOKIO MARINE HOLDINGS INC,JP3910660004,Japan
0.18%,CINTAS CORP,US1729081059,United States
0.18%,AUTODESK INC,US0527691069,United States
0.17%,TRAVELERS COMPANIES INC,US89417E1091,United States
0.17%,HONG KONG EXCHANGES AND CLEARING L,HK0388045442,Hong Kong
0.17%,MOTOROLA SOLUTIONS INC,US6200763075,United States
0.17%,CENCORA INC,US03073E1055,United States
0.17%,TRUIST FINANCIAL CORP,US89832Q1094,United States
0.16%,ALNYLAM PHARMACEUTICALS INC,US02043Q1076,United States
0.16%,CSL LTD,AU000000CSL8,United States
0.16%,ROSS STORES INC,US7782961038,United States
0.16%,IDEXX LABORATORIES INC,US45168D1046,United States
0.15%,NXP SEMICONDUCTORS NV,NL0009538784,Netherlands
0.15%,ARGENX,NL0010832176,Netherlands
0.15%,SEAGATE TECHNOLOGY HOLDINGS PLC,IE00BKVD2N49,United States
0.15%,WESTERN DIGITAL CORP,US9581021055,United States
0.15%,PAYPAL HOLDINGS INC,US70450Y1038,United States
0.15%,INFINEON TECHNOLOGIES AG,DE0006231004,Germany
0.15%,AFLAC INC,US0010551028,United States
0.15%,DIGITAL REALTY TRUST REIT INC,US2538681030,United States
0.15%,ALLSTATE CORP,US0200021014,United States
0.15%,LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34,United Kingdom
0.14%,RECKITT BENCKISER GROUP PLC,GB00B24CGK77,United Kingdom
0.14%,COMPASS GROUP PLC,GB00BD6K4575,United Kingdom
0.14%,ZOETIS INC CLASS A,US98978V1035,United States
0.14%,SHIN ETSU CHEMICAL LTD,JP3371200001,Japan
0.14%,HOYA CORP,JP3837800006,Japan
0.14%,CARVANA CLASS A,US1468691027,United States
0.14%,SWISS RE AG,CH0126881561,Switzerland
0.14%,SOCIETE GENERALE SA,FR0000130809,France
0.14%,DEUTSCHE POST AG,DE0005552004,Germany
0.14%,KDDI CORP,JP3496400007,Japan
0.13%,OVERSEA-CHINESE BANKING LTD,SG1S04926220,Singapore
0.13%,WHEATON PRECIOUS METALS CORP,CA9628791027,Brazil
0.13%,FERGUSON ENTERPRISES INC,US31488V1070,United States
0.13%,ELECTRONIC ARTS INC,US2855121099,United States
0.13%,DEUTSCHE BOERSE AG,DE0005810055,Germany
0.13%,NATIONAL BANK OF CANADA,CA6330671034,Canada
0.13%,ATLAS COPCO CLASS A,SE0017486889,Sweden
0.13%,CBRE GROUP INC CLASS A,US12504L1098,United States
0.13%,LONZA GROUP AG,CH0013841017,Switzerland
0.13%,NEC CORP,JP3733000008,Japan
0.13%,FASTENAL,US3119001044,United States
0.13%,MACQUARIE GROUP LTD DEF,AU000000MQG1,Australia
0.13%,WORKDAY INC CLASS A,US98138H1014,United States
